Datum	Pruefer	Station	Transponder	Stall	Silo	CUP1	CUP2	CUP3	CUP4	CUP5	CUP6	CUP7	CUP8	Notizen
01.04.2023 16:54	mp	GF_135	13392597	Stall_4	Silo_4	40.82	72.57	44.12	39.07	41.23	42.32	39.36	39.36	
01.04.2023 16:56	mp	GF_135	13392597	Stall_4	Silo_4	41.74	39.55	41.91	47.53	65.34	38.30	41.71	39.40	
01.04.2023 16:57	mp	GF_135	13392597	Stall_4	Silo_4	41.00	41.14	39.28	41.14	40.09	38.87	72.79	44.38	
01.04.2023 16:58	mp	GF_135	13392597	Stall_4	Silo_4	40.36	37.56	40.91	40.99	40.90	40.70	41.37	41.11	
01.04.2023 17:00	mp	GF_135	13392597	Stall_4	Silo_4	46.01	67.90	43.60	37.77	41.49	36.12	39.80	40.51	
01.04.2023 17:01	mp	GF_135	13392597	Stall_4	Silo_4	38.19	37.99	39.88	40.69	43.31	40.60	42.18	66.99	
01.04.2023 17:02	mp	GF_135	13392597	Stall_4	Silo_4	42.44	39.02	37.26	38.97	38.78	44.28	38.92	41.21	
01.04.2023 17:04	mp	GF_135	13392597	Stall_4	Silo_4	71.23	41.15	41.36	40.87	40.21	37.68	39.74	40.50	
01.04.2023 17:05	mp	GF_135	13392597	Stall_4	Silo_4	40.52	42.03	73.87	41.43	40.85	38.32	39.66	40.70	
01.04.2023 17:07	mp	GF_135	13392597	Stall_4	Silo_4	40.72	40.79	41.39	74.79	49.73	38.89	36.71	36.38	
